review,sentiment
Havuz kalabalık ve kirli görünüyordu. Genel olarak memnun kalmadım ve tavsiye etmem.,negative
"Otopark doluydu, araç için yer bulamadık. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
Oda servisi geç geldi ve sipariş eksikti. Genel olarak memnun kalmadım ve tavsiye etmem.,negative
Fotoğraflardaki otelle gerçek otel arasında büyük fark vardı. Genel olarak memnun kalmadım ve tavsiye etmem.,negative
"Koridorlar gürültülüydü, odanın ses yalıtımı kötüydü. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Havlular eskiydi, temizlik konusunda güven vermedi. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Çıkış işlemleri yavaştı, gereksiz bekletildik. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Mini bar boştu, oda bakımsız görünüyordu. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Pencere kapanmıyordu, gece soğuk içeri girdi. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Asansör sürekli arızalıydı, katlara çıkmak zor oldu. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Personel sorulara net cevap vermedi, iletişim zayıftı. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
Kahvaltı alanı kalabalıktı ve masalar temizlenmemişti. Genel olarak memnun kalmadım ve tavsiye etmem.,negative
"Duşta sıcak su yoktu, banyo deneyimi kötüydü. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Oda rutubet kokuyordu, duvarlarda lekeler vardı. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Konum merkezi değildi, ulaşım beklediğimizden zordu. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Genel deneyim olumsuzdu, tekrar tercih etmem. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Rezervasyon bilgileri karıştırıldı, odamız geç verildi. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Yatak rahatsızdı, sabah bel ağrısıyla uyandım. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Odada böcek gördük, hijyen ciddi şekilde kötüydü. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
Fiyat yüksek ama hizmet vasattı. Genel olarak memnun kalmadım ve tavsiye etmem.,negative
"Çalışanlar ilgisizdi, şikayetimize dönüş yapılmadı. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Oda havasızdı, pencere küçük ve manzara kötüydü. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Restoran servisi düzensizdi, siparişler karıştı. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Ses yalıtımı zayıftı, yan odadaki konuşmalar duyuluyordu. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Otel eski ve bakımsızdı, yenilenmeye ihtiyacı var. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Temizlik yapılmamıştı, çöp kutusu doluydu. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
"Konaklama beklentimizin altında kaldı, tavsiye etmem. Genel olarak memnun kalmadım ve tavsiye etmem.",negative
